TALLA/EDAD NIÑOS Z DE 0 A 19 AÑOS,,,,,,,,TALLA/EDAD NIÑAS Z DE 0 A 19 AÑOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MES,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,,MES,SD3neg,-2 SD,-1 SD,Median,1 SD,2 SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.000,,105.662,110.558,115.455,120.351,125.248,,71.000,,104.464,109.553,114.642,119.731,124.820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.000,,106.097,111.024,115.951,120.878,125.804,,72.000,,104.885,110.005,115.124,120.244,125.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.000,,106.529,111.486,116.443,121.400,126.357,,73.000,,105.306,110.455,115.604,120.753,125.902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.000,,106.960,111.946,116.932,121.919,126.905,,74.000,,105.724,110.903,116.081,121.260,126.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.000,,107.387,112.403,117.420,122.436,127.452,,75.000,,106.139,111.348,116.557,121.766,126.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76.000,,107.812,112.858,117.905,122.951,127.997,,76.000,,106.557,111.794,117.031,122.268,127.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.000,,108.237,113.313,118.388,123.463,128.539,,77.000,,106.971,112.238,117.504,122.771,128.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.000,,108.659,113.765,118.870,123.975,129.081,,78.000,,107.385,112.681,117.977,123.273,128.569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.000,,109.079,114.215,119.351,124.486,129.622,,79.000,,107.800,113.125,118.449,123.773,129.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.000,,109.499,114.664,119.830,124.996,130.162,,80.000,,108.213,113.567,118.921,124.275,129.628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.000,,109.919,115.114,120.308,125.503,130.698,,81.000,,108.628,114.010,119.393,124.775,130.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.000,,110.335,115.560,120.785,126.010,131.236,,82.000,,109.043,114.454,119.865,125.275,130.686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.000,,110.750,116.005,121.260,126.516,131.771,,83.000,,109.459,114.898,120.337,125.777,131.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84.000,,111.162,116.448,121.734,127.019,132.305,,84.000,,109.877,115.344,120.810,126.277,131.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.000,,111.573,116.889,122.205,127.521,132.837,,85.000,,110.294,115.789,121.284,126.780,132.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86.000,,111.983,117.329,122.675,128.021,133.367,,86.000,,110.713,116.236,121.759,127.282,132.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.000,,112.390,117.766,123.143,128.519,133.896,,87.000,,111.130,116.682,122.234,127.786,133.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88.000,,112.796,118.203,123.609,129.016,134.423,,88.000,,111.551,117.130,122.710,128.289,133.869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89.000,,113.200,118.637,124.074,129.511,134.947,,89.000,,111.974,117.581,123.187,128.793,134.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.000,,113.602,119.069,124.536,130.003,135.470,,90.000,,112.396,118.030,123.665,129.299,134.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91.000,,114.002,119.499,124.996,130.494,135.991,,91.000,,112.819,118.481,124.144,129.806,135.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92.000,,114.399,119.927,125.454,130.982,136.510,,92.000,,113.245,118.934,124.623,130.312,136.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93.000,,114.795,120.353,125.910,131.468,137.026,,93.000,,113.672,119.388,125.104,130.821,136.537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94.000,,115.188,120.776,126.364,131.952,137.540,,94.000,,114.101,119.844,125.587,131.330,137.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95.000,,115.580,121.198,126.816,132.434,138.051,,95.000,,114.530,120.300,126.071,131.841,137.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96.000,,115.969,121.617,127.265,132.913,138.561,,96.000,,114.961,120.758,126.556,132.353,138.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.000,,116.357,122.035,127.713,133.391,139.069,,97.000,,115.393,121.218,127.042,132.867,138.692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.000,,116.743,122.451,128.159,133.867,139.575,,98.000,,115.828,121.679,127.530,133.381,139.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.000,,117.127,122.865,128.603,134.342,140.080,,99.000,,116.265,122.143,128.020,133.897,139.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.000,,117.510,123.278,129.047,134.815,140.583,,100.000,,116.703,122.607,128.511,134.415,140.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.000,,117.892,123.690,129.489,135.287,141.086,,101.000,,117.143,123.073,129.004,134.934,140.864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102.000,,118.270,124.100,129.930,135.760,141.590,,102.000,,117.584,123.541,129.498,135.454,141.411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.000,,118.650,124.510,130.370,136.231,142.091,,103.000,,118.029,124.011,129.993,135.975,141.958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104.000,,119.030,124.920,130.810,136.701,142.591,,104.000,,118.475,124.483,130.490,136.498,142.506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105.000,,119.408,125.329,131.250,137.170,143.091,,105.000,,118.920,124.954,130.989,137.024,143.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106.000,,119.786,125.737,131.688,137.639,143.590,,106.000,,119.371,125.430,131.490,137.549,143.608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107.000,,120.164,126.146,132.127,138.108,144.090,,107.000,,119.822,125.906,131.991,138.076,144.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108.000,,120.542,126.553,132.565,138.577,144.589,,108.000,,120.273,126.384,132.494,138.605,144.716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109.000,,120.918,126.961,133.003,139.045,145.088,,109.000,,120.728,126.864,132.999,139.134,145.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110.000,,121.295,127.368,133.440,139.513,145.586,,110.000,,121.185,127.345,133.505,139.665,145.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111.000,,121.670,127.774,133.877,139.980,146.084,,111.000,,121.643,127.827,134.012,140.196,146.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112.000,,122.048,128.180,134.313,140.446,146.578,,112.000,,122.101,128.311,134.520,140.730,146.939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113.000,,122.422,128.585,134.748,140.912,147.075,,113.000,,122.564,128.797,135.030,141.263,147.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114.000,,122.795,128.989,135.183,141.377,147.571,,114.000,,123.025,129.283,135.541,141.799,148.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115.000,,123.170,129.393,135.617,141.840,148.064,,115.000,,123.490,129.772,136.053,142.335,148.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116.000,,123.542,129.796,136.050,142.304,148.559,,116.000,,123.959,130.263,136.567,142.871,149.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117.000,,123.916,130.199,136.483,142.767,149.050,,117.000,,124.427,130.754,137.082,143.410,149.738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118.000,,124.286,130.601,136.915,143.230,149.544,,118.000,,124.896,131.247,137.599,143.950,150.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119.000,,124.659,131.003,137.347,143.691,150.036,,119.000,,125.369,131.743,138.117,144.491,150.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120.000,,125.032,131.406,137.780,144.153,150.527,,120.000,,125.843,132.240,138.636,145.033,151.430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121.000,,125.405,131.809,138.212,144.615,151.019,,121.000,,126.322,132.740,139.158,145.575,151.993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.000,,125.779,132.212,138.645,145.078,151.511,,122.000,,126.799,133.240,139.680,146.121,152.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123.000,,126.154,132.617,139.080,145.543,152.006,,123.000,,127.281,133.743,140.205,146.667,153.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124.000,,126.530,133.023,139.516,146.009,152.502,,124.000,,127.764,134.248,140.731,147.215,153.698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125.000,,126.907,133.431,139.954,146.477,153.001,,125.000,,128.249,134.754,141.259,147.764,154.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126.000,,127.290,133.843,140.395,146.947,153.499,,126.000,,128.736,135.263,141.789,148.316,154.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.000,,127.673,134.256,140.839,147.422,154.004,,127.000,,129.227,135.774,142.321,148.867,155.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.000,,128.062,134.674,141.286,147.898,154.510,,128.000,,129.719,136.286,142.853,149.420,155.987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129.000,,128.453,135.095,141.737,148.379,155.020,,129.000,,130.213,136.800,143.387,149.975,156.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130.000,,128.848,135.520,142.192,148.863,155.535,,130.000,,130.707,137.315,143.922,150.530,157.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
